filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
damp-4.jpeg,43429,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""damp"",""question"":""Find the damp"",""difficulty"":""medium""}",2,0,"{""name"":""rect"",""x"":822,""y"":120,""width"":198,""height"":289}","{""name"":""window"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""false"",""label"":""That's a window. Not damp.""}"
damp-4.jpeg,43429,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""damp"",""question"":""Find the damp"",""difficulty"":""medium""}",2,1,"{""name"":""polygon"",""all_points_x"":[77,326,715,784,783,717,90],""all_points_y"":[448,410,377,405,522,512,616]}","{""name"":""damp"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""That's damp!""}"
damp-3.jpg,47951,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""damp"",""difficulty"":""easy"",""question"":""Hmm, what could the problem area be?""}",2,0,"{""name"":""polygon"",""all_points_x"":[392,284,138,199,290,344],""all_points_y"":[74,251,242,158,84,64]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""Oh hey! That looks like damp!""}"
damp-3.jpg,47951,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""damp"",""difficulty"":""easy"",""question"":""Hmm, what could the problem area be?""}",2,1,"{""name"":""polygon"",""all_points_x"":[507,433,505],""all_points_y"":[52,33,7]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""Oh wow, I didn't even notice that! Well done!""}"
damp-1.jpg,69900,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""damp"",""question"":""Find the damp area"",""difficulty"":""hard""}",4,0,"{""name"":""polygon"",""all_points_x"":[663,435,429,679],""all_points_y"":[131,241,462,228]}","{""name"":""damp-1"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""The damp is rising behind the wallpaper.""}"
damp-1.jpg,69900,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""damp"",""question"":""Find the damp area"",""difficulty"":""hard""}",4,1,"{""name"":""polygon"",""all_points_x"":[164,193,147,113],""all_points_y"":[389,478,501,390]}","{""name"":""damp-2"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""Subtle, but yes, that's damp behind the wallpaper.""}"
damp-1.jpg,69900,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""damp"",""question"":""Find the damp area"",""difficulty"":""hard""}",4,2,"{""name"":""polygon"",""all_points_x"":[500,502,592,572],""all_points_y"":[65,141,119,31]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""false"",""label"":""That's a boing-y thing. Not damp.""}"
damp-1.jpg,69900,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""damp"",""question"":""Find the damp area"",""difficulty"":""hard""}",4,3,"{""name"":""polygon"",""all_points_x"":[713,945,945,756],""all_points_y"":[272,342,6,8]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""false"",""label"":""That's a door. Do you know what we're asking?""}"
leak-5.png,119931,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""difficulty"":""easy"",""question"":""Where is the water coming from?"",""type"":""leak""}",2,0,"{""name"":""polygon"",""all_points_x"":[185,221,221,180],""all_points_y"":[42,41,82,82]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""Spot on! That's a leak!""}"
leak-5.png,119931,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""difficulty"":""easy"",""question"":""Where is the water coming from?"",""type"":""leak""}",2,1,"{""name"":""polygon"",""all_points_x"":[166,53,71,178,193,168],""all_points_y"":[41,146,228,216,90,89]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""The water is a symptom of a leak!""}"
leak-3.jpg,59961,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""leak"",""question"":""I think there's a leak. But where?"",""difficulty"":""medium""}",2,0,"{""name"":""polygon"",""all_points_x"":[227,226,362,355,226],""all_points_y"":[442,602,597,401,408]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""There's the leak!""}"
leak-3.jpg,59961,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""leak"",""question"":""I think there's a leak. But where?"",""difficulty"":""medium""}",2,1,"{""name"":""rect"",""x"":538,""y"":41,""width"":457,""height"":622}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""false"",""label"":""Although this is 70% water, it's not leaking.""}"
leak-2.jpeg,160700,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""difficulty"":""easy"",""type"":""leak"",""question"":""What is wet that should be dry?""}",2,0,"{""name"":""polygon"",""all_points_x"":[9,1430,1428,452,437,257,253,14],""all_points_y"":[8,8,802,794,615,629,788,788]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""That's right! Looks like there's a leak!""}"
leak-2.jpeg,160700,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""difficulty"":""easy"",""type"":""leak"",""question"":""What is wet that should be dry?""}",2,1,"{""name"":""polygon"",""all_points_x"":[267,418,442,266],""all_points_y"":[637,629,792,794]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""false"",""label"":""That's dry but should be wet.""}"
leak-1.jpg,105873,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""leak"",""question"":""Find the leak"",""difficulty"":""easy""}",1,0,"{""name"":""polygon"",""all_points_x"":[339,448,419,312],""all_points_y"":[134,174,237,193]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""Spot on! There's a leak!""}"
crack-5.jpg,1600722,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""crack"",""question"":""Where's the issue in this wall?"",""difficulty"":""medium""}",1,0,"{""name"":""polygon"",""all_points_x"":[3082,2733,1908,1353,1452,2504,3185,3535],""all_points_y"":[506,1151,1747,1810,2177,2025,1483,551]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""You found a crack in this wall!""}"
crack3.png,831466,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""crack"",""question"":""Where might the issues be?"",""difficulty"":""easy""}",2,0,"{""name"":""polygon"",""all_points_x"":[281,192,10,14,202,312,318,260,340],""all_points_y"":[91,258,264,349,347,443,388,310,133]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""That's a huge crack!""}"
crack3.png,831466,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""crack"",""question"":""Where might the issues be?"",""difficulty"":""easy""}",2,1,"{""name"":""polygon"",""all_points_x"":[518,573,534,583,611,774,800,990,988,748],""all_points_y"":[190,297,379,424,325,374,312,345,265,225]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""That's a lot of cracks!""}"
crack-2.jpeg,157925,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""type"":""crack"",""question"":""Find the issue"",""difficulty"":""medium""}",1,0,"{""name"":""polygon"",""all_points_x"":[349,559,702,721,735,840,836,644,567],""all_points_y"":[166,490,536,733,795,794,441,283,150]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""Correct. There shouldn't be gaps there""}"
crack-1.jpg,520014,"{""caption"":"""",""public_domain"":""no"",""image_url"":"""",""difficulty"":""hard"",""type"":""crack"",""question"":""Find the crack""}",1,0,"{""name"":""polygon"",""all_points_x"":[369,1315,2203,2237,1791,1186,523],""all_points_y"":[491,854,1132,980,715,607,380]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true},""isCorrect"":""true"",""label"":""Looks like a crack.""}"